Average,,,,18.54,-0.42,"19,604,604.27","116,875.64","23,343.93",55.29,2.33,1.54,0.65,1.35,3.71,1.28,-4.12,3.23,41.01,,515.27,513.79,0.56,
2S,1,i | 1 | 2 | 3,,6.55,-1.50,"2,251,000","14,756","2,947",7.19,1.68,0.26,0.25,0.91,24.78,26.15,7.29,3.76,58.29,,47,25,0.03,
3K-BAT,2,i,,69.5,-0.36,"1,500",104,"5,449",128.25,2.62,0.81,0.25,0.54,-5.48,2.1,-4.78,0.36,2.10,,949,,,
7UP,3,i | 1 | 2 | 3,,0.92,+1.10,"53,749,900","49,110","4,546",38.71,2.09,0.55,,0.02,6.19,6.85,8.99,,91.98,,704,657,-0.49,
A,4,i | 1 | 2 | 3,,5,0.00,"2,900",14,"4,900",25.15,1.37,2.68,0.03,0.2,4.29,5.59,3.39,0.60,25.86,,659,666,-0.1,
A5,5,i | 1 | 3,SPNC,1.5,0.00,0,0,"1,685",,3.41,1.74,,0.05,5.25,9.44,7.15,,25.01,,,,,
AAV,6,i | 1 | 2 | 3,,2.6,-1.52,"16,252,400","42,163","12,610",,0.88,3.55,,0,-11.5,-27.85,-53.3,,58.59,,,,,
ABICO,7,i | 1 | 2 | 3,,5.8,0.00,"217,300","1,279","1,363",16.86,1.45,1.15,,0.34,6.77,8.99,3.87,0.08,32.61,,445,442,-0.16,
ABM,8,i | 1 | 3,,1.42,-4.70,"3,946,000","5,776",426,22.88,1.78,2.77,,0.06,4.35,8.03,1.09,,34.67,,556,643,-0.12,
ACAP,9,i | 1 | 2 | 3,CNP,1.01,-1.94,"1,275,100","1,286",320,,0.94,9.30,,0,-9.36,-49.56,-982.4,,60.49,,,,,
ACC,10,i | 1 | 3,,0.85,-1.16,"2,471,800","2,108","1,142",,2.02,0.59,,0,-3.86,-10.88,-43.52,,50.34,,,,,
ACE,11,i | 1 | 3,,3.68,-1.08,"51,891,400","192,428","37,448",24.84,3.12,0.37,0.02,0.15,10.84,13.23,24.97,1.29,21.75,,442,418,0.29,
ACG,12,i | 1 | 3,,1.93,-5.39,"7,612,100","14,988","1,158",33.25,1.75,1.00,0.04,0.06,4.9,5.31,1.69,1.96,24.93,,723,691,-0.97,
ADB,13,i | 1 | 2 | 3,,2.06,+0.98,"172,370,300","371,622","1,360",19.52,2.10,0.93,0.05,0.11,7.7,11.36,5.06,2.70,37.56,,421,430,0.03,
ADVANC,14,i | 1 | 2 | 3,,174,-0.85,"8,861,800","1,542,857","517,398",18.86,6.85,3.63,3.68,9.23,12.02,37.88,15.79,3.94,36.22,,230,324,-2.96,
AEC,15,i | 1 | 3,C,0.75,0.00,"7,426,400","5,507","3,214",,5.00,0.15,,0,-29.46,-40.79,-373.03,,59.68,,,,,
AEONTS,16,i | 1 | 2 | 3,,223,-3.88,"1,474,600","334,897","55,750",15.65,3.56,4.57,1.85,14.25,7.37,20.03,17.61,1.06,30.87,,249,385,1.81,
AF,17,i | 1 | 2 | 3,,0.73,0.00,"527,000",381,"1,168",27.35,2.21,3.18,,0.03,3.9,8.14,25.44,2.88,20.60,,588,704,,
AFC,18,i | 1 | 3,,6.6,-0.75,"6,200",41,301,,0.26,0.18,,0,-0.8,-0.99,-0.71,,43.31,,,,,
AGE,19,i | 1 | 2 | 3,,3.06,+2.00,"16,741,400","51,676","2,959",13.13,1.59,1.90,0.10,0.23,6.04,12.25,2.89,3.33,44.27,,281,395,0.55,
AH,20,i | 1 | 2 | 3,,21.1,+2.93,"3,242,300","68,451","6,807",50.67,1.00,1.95,0.15,0.42,2.51,2.01,0.91,0.67,49.55,,884,865,-2.62,
AHC,21,i | 1 | 2 | 3,,14.1,+2.92,"67,800",938,"2,114",29.28,1.32,0.19,0.25,0.48,4.71,4.49,5.01,1.82,58.86,,721,679,-2.56,
AI,22,i | 1 | 2 | 3,,3.16,-1.25,"25,612,200","81,668","8,848",11.81,3.13,0.17,0.15,0.27,25.57,28.48,14.06,4.69,49.90,,117,98,0.27,
AIE,23,i | 1 | 2 | 3,,1.97,-2.48,"69,022,300","137,205","10,308",21.10,4.69,0.18,0.05,0.09,20.28,25.34,8.85,2.48,26.00,,302,282,-0.15,
AIRA,24,i | 1 | 2 | 3,,2.2,0.00,"4,755,300","10,483","13,893",,3.79,1.28,0.01,0,1.06,-1.01,-8.28,0.59,25.74,,,,,
AIT,25,i | 1 | 2 | 3,,20.8,-0.48,"1,021,800","21,341","4,291",10.89,1.47,1.20,1.25,1.91,8.35,13.57,5.86,7.18,71.51,,216,249,25.93,
AJ,26,i | 1 | 2 | 3,,18.5,-2.12,"1,722,100","32,041","8,140",15.29,1.74,1.03,0.40,1.21,6.72,12.85,7.26,3.56,38.22,,324,412,0.02,
AJA,27,i | 1 | 2 | 3,,0.22,+15.79,"249,287,100","52,630",933,,1.38,0.34,,0,-15.01,-17.61,-42.66,,67.05,,,,,
AKP,28,i | 1 | 3,,1.45,-4.61,"2,113,000","3,106",586,16.90,1.06,0.26,0.02,0.09,6.86,6.37,9.74,1.51,48.51,,536,438,-3.13,
AKR,29,i | 1 | 2 | 3,,1.13,-0.88,"37,674,500","42,547","1,518",15.42,1.43,0.44,,0.07,8.74,9.67,6.5,,59.11,,394,339,-0.07,
ALL,30,i | 1 | 3,,3.28,-2.38,"2,699,600","8,897","2,024",8.37,0.91,2.66,,0.39,6.5,11.5,10.89,1.35,29.81,,209,278,-2.88,
ALLA,31,i | 1 | 2 | 3,,1.54,-3.14,"9,174,800","14,391",924,21.41,1.09,0.21,0.07,0.07,5.05,5.04,7.93,4.40,31.78,,644,589,14.52,
ALT,32,i | 1 | 3,,3,-1.96,"3,408,300","10,292","3,397",12.71,1.85,0.75,,0.24,13.02,16.48,12.89,2.94,29.63,,217,192,-0.05,
ALUCON,33,i | 1 | 3,,194,-0.26,"5,800","1,127","8,381",12.53,1.41,0.14,10.00,15.49,12.36,11.57,13.27,5.14,21.37,,282,194,22.54,
AMA,34,i | 1 | 2 | 3,,6.1,-3.94,"3,556,200","22,177","3,159",18.55,1.48,0.65,0.20,0.33,6.86,8.11,9.38,3.15,36.41,,494,455,0.69,
AMANAH,35,i | 1 | 2 | 3,,6.2,0.00,"13,260,000","81,722","6,398",22.01,4.13,1.43,0.13,0.28,10.96,19.93,41.93,2.10,50.62,,341,390,0.46,
AMARIN,36,i | 1 | 2 | 3,,5.25,-3.67,"259,200","1,355","5,241",30.71,1.24,0.28,0.12,0.17,3.36,4.07,5.81,2.20,18.30,,744,757,-0.67,
AMATA,37,i | 1 | 2 | 3,XD,17,-1.16,"12,101,200","204,885","19,550",17.72,1.25,1.37,0.20,0.96,5.23,7.43,32.22,1.70,73.75,,505,525,3.88,
AMATAV,38,i | 1 | 2 | 3,,6.15,-1.60,"146,900",904,"5,750",,2.27,1.96,,0,1.87,-1.19,-3.85,,25.95,,,,,
AMC,39,i | 1 | 3,,3.52,-1.12,"2,066,400","7,294","1,690",12.71,0.77,0.70,0.14,0.28,5.76,6.26,2.73,3.93,29.10,,447,400,-0.09,
ANAN,40,i | 1 | 2 | 3,,2.12,-4.50,"19,835,200","42,502","7,066",,0.45,1.64,,0,3.63,-1.27,-0.96,,47.51,,,,,
AOT,41,i | 1 | 2 | 3,,63,-1.18,"18,257,200","1,154,124","899,999",,7.04,0.62,0.19,0,-3.44,-4.47,-144.51,0.30,30.00,,,,,
AP,42,i | 1 | 2 | 3,,8.4,-0.59,"25,398,800","214,863","26,426",6.25,0.90,1.01,0.45,1.34,8.99,15.2,14.1,5.33,68.77,,132,169,0.53,
APCO,43,i | 1 | 2 | 3,,4.16,0.00,"4,065,900","17,204","2,496",35.67,4.20,0.17,0.12,0.12,13.2,11.91,27.17,2.88,30.78,,538,452,-10.18,
APCS,44,i | 1 | 2 | 3,,4.68,-0.85,"80,400",378,"3,089",219.49,1.73,0.77,0.06,0.02,1.72,0.81,0.41,1.27,59.09,,994,988,-1.54,
APEX,45,i | 1 | 2 | 3,SPNPNC,0.05,0.00,0,0,200,,,-17.02,,0,-1,,-68.8,,44.30,,,,,
APP,46,i | 1 | 3,,3.76,0.00,"614,100","2,310","1,053",23.40,3.08,0.94,0.15,0.16,9,13.54,6.83,3.99,42.72,,427,444,-1.08,
APURE,47,i | 1 | 2 | 3,,4.82,-3.21,"9,021,500","44,335","4,619",14.02,2.46,0.07,,0.34,17.6,18.35,16.33,2.04,26.45,,229,177,0.07,
AQ,48,i | 1 | 2 | 3,C,0.01,-50.00,"52,927,000",579,853,,0.25,1.16,,0,-5.62,-11.93,-66.86,,74.08,,,,,
AQUA,49,i | 1 | 3,,0.44,-2.22,"64,964,500","29,335","2,021",11.05,0.46,0.86,0.01,0.04,3.5,4.1,20.52,2.22,77.84,,477,488,1.23,
ARIN,50,i | 1 | 3,,0.84,0.00,"638,300",536,504,,1.14,1.29,,0,-2.06,-8.1,-50.5,,38.09,,,,,
ARIP,51,i | 1 | 2 | 3,,0.67,0.00,"1,174,100",777,312,87.64,1.49,0.20,,0.01,1.98,1.72,1.58,,34.78,,939,944,7.05,
ARROW,52,i | 1 | 2 | 3,,9.5,-2.06,"708,200","6,772","2,422",14.33,1.96,0.35,0.35,0.66,13.72,13.85,12.11,5.15,28.66,,284,221,-2.99,
AS,53,i | 1 | 2 | 3,,7.35,-1.34,"5,484,200","40,055","3,099",10.09,6.87,0.72,0.30,0.73,59.98,107.7,25.08,3.96,24.92,,58,58,0.01,
ASAP,54,i | 1 | 2 | 3,,2.66,-2.92,"18,108,600","50,181","1,931",,1.47,8.15,,0,2.37,-6.67,-184.96,,20.51,,,,,
ASEFA,55,i | 1 | 2 | 3,,5,-0.99,"263,600","1,317","2,750",12.49,1.64,0.50,0.28,0.4,11.11,13.51,8.03,5.54,29.92,,247,221,1.47,
ASIA,56,i | 1 | 2 | 3,,5.65,0.00,"1,900",11,"1,808",,0.35,0.82,,0,0.02,-2.3,-13.69,,32.10,,,,,
ASIAN,57,i | 1 | 2 | 3,,22.9,-1.72,"4,510,700","103,778","12,428",15.19,3.55,0.78,0.55,1.51,15.42,25.94,9.27,2.36,30.30,,201,220,0.13,
ASIMAR,58,i | 1 | 2 | 3,,2.78,-4.14,"5,801,900","16,348",718,23.45,1.63,0.62,0.10,0.12,6.37,7.04,6.22,3.45,63.38,,589,540,0.04,
ASK,59,i | 1 | 3,,22.2,-0.89,"1,792,800","39,817","7,812",8.85,1.38,6.93,1.70,2.51,4.73,15.92,33.12,7.59,41.80,,149,378,1.65,
ASN,60,i | 1 | 2 | 3,,4.2,+0.48,"40,200",168,655,53.64,2.69,0.33,0.01,0.08,4.8,5.1,10.06,0.22,25.83,,812,777,3.04,
ASP,61,i | 1 | 2 | 3,,2.68,+0.75,"8,066,100","21,670","5,643",13.57,1.18,0.96,0.12,0.2,7.31,8.81,19.56,6.77,75.11,,380,342,-7.24,
ATP30,62,i | 1 | 2 | 3,,1.25,-2.34,"1,198,600","1,496",853,29.67,1.84,0.95,0.03,0.04,5.55,6.96,7.34,2.34,50.00,,647,640,1.08,
AU,63,i | 1 | 2 | 3,,10.2,0.00,"1,787,900","18,159","8,319",149.98,9.81,0.53,0.06,0.07,6.05,5.87,7.16,0.59,33.73,,843,766,20.62,
