ALT,32,i | 1 | 3,,2.72,-0.73,"1,575,300","4,300","3,080","1,525.31",1.71,,,0,3.39,0.12,-5.92,3.28,29.63,,"1,114","1,032",-6.21,
ALUCON,33,i | 1 | 3,,183,+0.55,"1,400",256,"7,906",11.85,1.33,0.14,10.00,15.44,12.17,11.49,14.1,5.49,21.37,,405,281,21.31,
AMA,34,i | 1 | 2 | 3,,6.4,+8.47,"16,810,800","103,488","3,315",20.17,1.52,,0.20,0.32,6.35,7.74,5.82,3.39,35.34,,634,606,0.54,
AMANAH,35,i | 1 | 2 | 3,,5.4,-0.92,"2,618,300","14,099","5,593",17.89,3.55,1.43,0.13,0.3,11.73,21.02,41.32,2.38,44.65,,341,394,0.37,
AMARIN,36,i | 1 | 2 | 3,,6.45,-0.77,"8,400",54,"6,439",15.36,1.51,,0.12,0.42,7.93,10.18,11.73,1.85,18.06,,498,465,-0.27,
AMATA,37,i | 1 | 2 | 3,,18.7,-1.06,"11,187,200","208,521","21,505",19.58,1.29,,0.10,0.96,4.94,7.13,32.18,1.55,72.97,,647,677,1.32,
AMATAV,38,i | 1 | 2 | 3,,7.9,-1.25,"183,500","1,441","7,387",214.46,2.15,,,0.04,2.31,1.14,30.32,,25.95,,"1,083","1,064",1.99,
AMC,39,i | 1 | 3,,7.1,-0.70,"2,616,600","18,633","3,409",5.12,1.26,,0.14,1.39,21.14,27.6,14.39,1.96,27.95,,69,48,-0.03,
AMR,40,i,,6.5,-1.52,"2,852,000","18,584",0,,-,,-,0,18.84,54.93,10.9,-,37.78,,,,,
ANAN,41,i | 1 | 2 | 3,,1.7,-2.30,"11,980,800","20,324","5,666",24.37,0.36,,,0.07,4.56,1.48,4.78,,49.17,,857,751,4.03,
AOT,42,i | 1 | 2 | 3,,61.75,-0.80,"30,570,900","1,888,508","882,142",,7.51,,0.19,0,-8.68,-11.27,-184.6,0.31,30.00,,,,,
AP,43,i | 1 | 2 | 3,,8.55,-0.58,"12,576,800","106,880","26,897",5.48,0.88,,0.45,1.56,10.23,17.14,14.56,5.23,65.00,,163,207,1.01,
APCO,44,i | 1 | 2 | 3,,5.8,-0.85,"547,400","3,158","3,480",56.35,6.24,,0.12,0.1,12.26,11.05,24.78,2.05,30.79,,770,629,-16.08,
APCS,45,i | 1 | 2 | 3,,5.25,-0.94,"2,656,300","14,119","3,465",14.84,1.84,,0.06,0.35,9.35,13.44,14.17,1.13,59.09,,404,410,-0.1,
APEX,46,i | 1 | 2 | 3,SPNPNC,0.04,0.00,0,0,160,,,-17.02,,0,-5.53,,-28.01,,43.24,,,,,
APP,47,i | 1 | 3,,3.68,-1.08,"939,200","3,445","1,030",25.45,3.17,,0.15,0.14,8.2,12.41,6.93,4.03,42.72,,566,585,,
APURE,48,i | 1 | 2 | 3,,9.3,+0.54,"10,265,400","95,297","8,912",25.79,4.56,,0.07,0.36,16.42,18.69,12.25,1.10,26.92,,457,405,-5.63,
AQ,49,i | 1 | 2 | 3,C,0.03,-25.00,"368,675,000","11,393","2,560",,1.00,,,0,-8.92,-20.04,-140.05,,54.89,,,,,
AQUA,50,i | 1 | 3,,0.57,0.00,"401,273,400","228,105","2,618",21.28,0.60,,0.01,0.03,2.53,2.81,7.24,1.75,79.13,,804,809,0.76,
ARIN,51,i | 1 | 3,,1.85,-0.54,"1,927,900","3,585","1,110",,2.53,1.29,,0,-0.9,-6.69,-6.93,,29.72,,,,,
ARIP,52,i | 1 | 2 | 3,,0.99,-4.81,"19,159,100","19,232",461,129.35,2.20,0.20,,0.01,1.92,1.73,-1.23,,28.67,,"1,057","1,065",10.4,
ARROW,53,i | 1 | 2 | 3,,8.6,-1.15,"364,000","3,122","2,192",12.63,1.76,,0.35,0.68,12.89,14.15,16.43,5.75,27.87,,358,282,-8.12,
AS,54,i | 1 | 2 | 3,,17.9,+4.68,"15,211,900","270,149","7,603",19.82,13.26,,0.40,0.9,58.03,91.82,27.09,1.71,48.96,,268,268,-0.36,
ASAP,55,i | 1 | 2 | 3,,2.56,0.00,"2,233,800","5,846","1,859",,1.53,8.15,,0,1.89,-11.63,-5.27,,18.44,,,,,
ASEFA,56,i | 1 | 2 | 3,,4,0.00,"358,200","1,427","2,200",12.27,1.40,,0.28,0.33,9.38,11.46,4.26,7.00,29.20,,414,367,-5.01,
ASIA,57,i | 1 | 2 | 3,,5.65,0.00,0,0,"1,808",,0.36,,,0,-0.1,-2.74,-32.43,,27.52,,,,,
ASIAN,58,i | 1 | 2 | 3,,18.6,0.00,"7,998,900","148,713","15,142",16.44,4.08,,0.25,1.13,15.07,27.12,10.91,1.97,37.31,,279,307,0.84,
ASIMAR,59,i | 1 | 2 | 3,,2.7,+0.75,"1,126,600","3,024",697,16.37,1.58,,0.10,0.16,7.25,9.8,8.69,3.73,62.58,,530,512,-0.49,
ASK,60,i | 1 | 3,,36,+0.70,"1,775,700","63,710","19,002",19.05,2.21,,1.70,1.89,4.61,14.42,26.5,3.17,41.44,,451,689,3.01,
ASN,61,i | 1 | 2 | 3,,3.66,+1.10,"24,400",89,685,58.46,2.30,,0.01,0.06,3.64,4.02,8.43,0.26,25.55,,976,962,1.43,
ASP,62,i | 1 | 2 | 3,,3.46,0.00,"12,236,600","41,882","7,286",8.90,1.44,,0.20,0.39,10.66,16.78,34.91,5.20,74.09,,224,250,-1.42,
ASW,63,i,,8.7,-1.14,"300,800","2,630","6,621",6.05,1.66,,0.02,1.44,12.65,22.72,24.27,,32.30,,108,148,,
ATP30,64,i | 1 | 2 | 3,,1.43,-0.69,"1,609,500","2,315",976,31.41,2.04,0.95,0.03,0.05,5.25,7.09,5.12,2.08,50.00,,778,793,1.14,
